Reference, Value, Footprint, Datasheet
P1,CONN_02X12,,
P2,CONN_02X10,,
P3,CONN_02X10,,
R3,EN_SO1,,
R4,EN_SO2,,
D3,GREEN,,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805GW-TRvirtualkey69600000virtualkey696-SML-LXT0805GW
D4,GREEN,,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805GW-TRvirtualkey69600000virtualkey696-SML-LXT0805GW
Q2,SI2325DS-T1-E3,,http://www.mouser.com/Search/ProductDetail.aspx?R=SI2325DS-T1-E3virtualkey61360000virtualkey781-SI2325DS-E3
Q1,SI2325DS-T1-E3,,http://www.mouser.com/Search/ProductDetail.aspx?R=SI2325DS-T1-E3virtualkey61360000virtualkey781-SI2325DS-E3
D1,YELLOW,,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805YW-TRvirtualkey69600000virtualkey696-SML-LXT0805YW
D2,RED,,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805SRW-TRvirtualkey69600000virtualkey696-SML-LXT0805SRW
U3,LM3940ISX-3.3,TO-263,http://www.mouser.com/Search/ProductDetail.aspx?R=LM3940ISX-3.3%2fNOPBvirtualkey59500000virtualkey926-LM3940ISX3.3NOPB
P4,CONN_01X04,,
P5,CONN_01X04,,
P6,CONN_01X01,,
R1,330R,,
R2,330R,,
R6,330R,,
R5,500R,,
U7,SN74LV1T34,,http://www.mouser.com/Search/ProductDetail.aspx?R=SN74LV1T34DCKRvirtualkey59500000virtualkey595-SN74LV1T34DCKR
P7,CONN_01X04,,
U5,SN74LV1T34,,http://www.mouser.com/Search/ProductDetail.aspx?R=SN74LV1T34DCKRvirtualkey59500000virtualkey595-SN74LV1T34DCKR
U4,SN74LV1T34,,http://www.mouser.com/Search/ProductDetail.aspx?R=SN74LV1T34DCKRvirtualkey59500000virtualkey595-SN74LV1T34DCKR
U6,SN74LV1T34,,http://www.mouser.com/Search/ProductDetail.aspx?R=SN74LV1T34DCKRvirtualkey59500000virtualkey595-SN74LV1T34DCKR
RV1,POT,,http://www.mouser.com/Search/ProductDetail.aspx?R=3361P-1-102GLFvirtualkey65210000virtualkey652-3361P-1-102GLF
RV2,POT,,http://www.mouser.com/Search/ProductDetail.aspx?R=3361P-1-102GLFvirtualkey65210000virtualkey652-3361P-1-102GLF
RV3,POT,,http://www.mouser.com/Search/ProductDetail.aspx?R=3361P-1-102GLFvirtualkey65210000virtualkey652-3361P-1-102GLF
U1,SN74LV1T34,,http://www.mouser.com/Search/ProductDetail.aspx?R=SN74LV1T34DCKRvirtualkey59500000virtualkey595-SN74LV1T34DCKR
U2,SN74LV1T34,,http://www.mouser.com/Search/ProductDetail.aspx?R=SN74LV1T34DCKRvirtualkey59500000virtualkey595-SN74LV1T34DCKR
